,date,max_load
793,2011/12/14,18748.0
794,2011/12/15,19183.0
795,2011/12/16,19748.0
796,2011/12/17,18533.0
797,2011/12/18,17793.0
798,2011/12/19,19444.0
799,2011/12/20,19510.0
800,2011/12/21,19358.0
801,2011/12/22,19491.0
802,2011/12/23,19717.0
803,2011/12/24,18450.0
804,2011/12/25,17778.0
805,2011/12/26,19601.0
806,2011/12/27,19438.0
807,2011/12/28,18839.0
808,2011/12/29,18506.0
809,2011/12/30,18574.0
810,2011/12/31,17657.0
811,2012/1/1,15488.0
812,2012/1/2,16920.0
813,2012/1/3,19275.0
814,2012/1/4,20582.0
815,2012/1/5,20996.0
816,2012/1/6,20905.0
817,2012/1/7,18739.0
818,2012/1/8,18027.0
819,2012/1/9,19707.0
820,2012/1/10,19448.0
821,2012/1/11,19425.0
822,2012/1/12,19327.0
823,2012/1/13,18987.0
824,2012/1/14,17588.0
825,2012/1/15,16807.0
826,2012/1/16,18028.0
827,2012/1/17,16955.0
828,2012/1/18,16881.0
829,2012/1/19,15933.0
830,2012/1/20,14960.0
831,2012/1/21,13724.0
832,2012/1/22,13450.0
833,2012/1/23,13537.0
834,2012/1/24,13393.0
835,2012/1/25,13731.0
836,2012/1/26,13365.0
837,2012/1/27,13956.0
838,2012/1/28,13834.0
839,2012/1/29,15835.0
840,2012/1/30,16309.0
841,2012/1/31,16514.0
842,2012/2/1,17513.0
843,2012/2/2,19049.0
844,2012/2/3,19277.0
845,2012/2/4,17939.0
846,2012/2/5,17173.0
847,2012/2/6,18980.0
848,2012/2/7,20304.0
849,2012/2/8,21177.0
850,2012/2/9,20680.0
851,2012/2/10,21354.0
852,2012/2/11,18945.0
853,2012/2/12,17961.0
854,2012/2/13,20280.0
855,2012/2/14,20399.0
856,2012/2/15,20539.0
857,2012/2/16,20545.0
858,2012/2/17,20084.0
859,2012/2/18,18323.0
860,2012/2/19,17861.0
861,2012/2/20,20297.0
862,2012/2/21,20087.0
863,2012/2/22,19245.0
864,2012/2/23,19728.0
865,2012/2/24,20238.0
866,2012/2/25,18567.0
867,2012/2/26,18453.0
868,2012/2/27,21023.0
869,2012/2/28,21241.0
870,2012/2/29,20061.0
871,2012/3/1,19938.0
872,2012/3/2,20284.0
873,2012/3/3,18711.0
874,2012/3/4,18183.0
875,2012/3/5,20358.0
876,2012/3/6,20019.0
877,2012/3/7,20429.0
878,2012/3/8,20306.0
879,2012/3/9,20032.0
880,2012/3/10,17887.0
881,2012/3/11,17079.0
882,2012/3/12,19863.0
883,2012/3/13,19335.0
884,2012/3/14,18488.0
885,2012/3/15,18629.0
886,2012/3/16,17703.0
887,2012/3/17,16801.0
888,2012/3/18,16613.0
889,2012/3/19,18889.0
890,2012/3/20,19487.0
891,2012/3/21,18170.0
892,2012/3/22,17520.0
893,2012/3/23,19087.0
894,2012/3/24,15966.0
895,2012/3/25,14989.0
896,2012/3/26,17224.0
897,2012/3/27,16686.0
898,2012/3/28,16302.0
899,2012/3/29,16161.0
900,2012/3/30,16449.0
901,2012/3/31,15926.0
902,2012/4/1,15375.0
903,2012/4/2,14931.0
904,2012/4/3,14654.0
905,2012/4/4,14217.0
906,2012/4/5,15709.0
907,2012/4/6,15874.0
908,2012/4/7,14965.0
909,2012/4/8,14115.0
910,2012/4/9,16161.0
911,2012/4/10,16310.0
912,2012/4/11,16405.0
913,2012/4/12,16153.0
914,2012/4/13,16679.0
915,2012/4/14,15122.0
916,2012/4/15,14451.0
917,2012/4/16,16159.0
918,2012/4/17,16109.0
919,2012/4/18,16266.0
920,2012/4/19,16304.0
921,2012/4/20,16405.0
922,2012/4/21,15331.0
923,2012/4/22,14311.0
924,2012/4/23,16325.0
925,2012/4/24,16760.0
926,2012/4/25,16599.0
927,2012/4/26,16185.0
928,2012/4/27,16310.0
929,2012/4/28,16132.0
930,2012/4/29,14438.0
931,2012/4/30,13634.0
932,2012/5/1,12724.0
933,2012/5/2,15597.0
934,2012/5/3,16243.0
935,2012/5/4,16477.0
936,2012/5/5,15510.0
937,2012/5/6,14800.0
938,2012/5/7,17825.0
939,2012/5/8,16853.0
940,2012/5/9,16665.0
941,2012/5/10,16626.0
942,2012/5/11,16542.0
943,2012/5/12,15238.0
944,2012/5/13,14358.0
945,2012/5/14,16545.0
946,2012/5/15,16360.0
947,2012/5/16,17061.0
948,2012/5/17,17385.0
949,2012/5/18,17394.0
950,2012/5/19,15303.0
951,2012/5/20,14388.0
952,2012/5/21,16437.0
953,2012/5/22,16426.0
954,2012/5/23,16568.0
955,2012/5/24,16696.0
956,2012/5/25,16426.0
957,2012/5/26,15201.0
958,2012/5/27,14218.0
959,2012/5/28,16659.0
960,2012/5/29,16928.0
961,2012/5/30,16142.0
962,2012/5/31,16203.0
963,2012/6/1,16209.0
964,2012/6/2,15117.0
965,2012/6/3,13973.0
966,2012/6/4,16696.0
967,2012/6/5,17126.0
968,2012/6/6,16998.0
969,2012/6/7,17682.0
970,2012/6/8,19137.0
971,2012/6/9,16781.0
972,2012/6/10,15382.0
973,2012/6/11,19363.0
974,2012/6/12,19348.0
975,2012/6/13,19365.0
976,2012/6/14,19136.0
977,2012/6/15,18907.0
978,2012/6/16,17414.0
979,2012/6/17,16437.0
980,2012/6/18,17648.0
981,2012/6/19,17578.0
982,2012/6/20,17634.0
983,2012/6/21,17900.0
984,2012/6/22,16145.0
985,2012/6/23,14561.0
986,2012/6/24,13850.0
987,2012/6/25,19027.0
988,2012/6/26,18521.0
989,2012/6/27,18526.0
990,2012/6/28,18475.0
991,2012/6/29,19812.0
992,2012/6/30,18638.0
993,2012/7/1,18146.0
994,2012/7/2,24095.0
995,2012/7/3,24044.0
996,2012/7/4,24457.0
