dates,max_load
2011/7/15,22151.0
2011/7/16,20667.0
2011/7/17,18682.0
2011/7/18,22656.0
2011/7/19,22774.0
2011/7/20,22560.0
2011/7/21,23120.0
2011/7/22,24091.0
2011/7/23,22988.0
2011/7/24,22128.0
2011/7/25,25082.0
2011/7/26,25489.0
2011/7/27,24914.0
2011/7/28,24461.0
2011/7/29,25079.0
2011/7/30,23711.0
2011/7/31,21869.0
2011/8/1,23719.0
2011/8/2,24172.0
2011/8/3,24441.0
2011/8/4,22877.0
2011/8/5,22792.0
2011/8/6,20131.0
2011/8/7,17775.0
2011/8/8,22699.0
2011/8/9,23696.0
2011/8/10,24487.0
2011/8/11,24608.0
2011/8/12,23094.0
2011/8/13,20562.0
2011/8/14,19930.0
2011/8/15,24052.0
2011/8/16,23845.0
2011/8/17,23640.0
2011/8/18,22980.0
2011/8/19,22470.0
2011/8/20,21740.0
2011/8/21,19488.0
2011/8/22,20710.0
2011/8/23,20515.0
2011/8/24,19544.0
2011/8/25,18451.0
2011/8/26,18978.0
2011/8/27,17922.0
2011/8/28,17418.0
2011/8/29,20333.0
2011/8/30,21509.0
2011/8/31,22185.0
2011/9/1,21419.0
2011/9/2,21206.0
2011/9/3,18843.0
2011/9/4,17440.0
2011/9/5,19927.0
2011/9/6,19325.0
2011/9/7,18786.0
2011/9/8,19245.0
2011/9/9,18789.0
2011/9/10,17425.0
2011/9/11,15760.0
2011/9/12,14801.0
2011/9/13,20044.0
2011/9/14,20893.0
2011/9/15,21961.0
2011/9/16,22021.0
2011/9/17,18270.0
2011/9/18,16915.0
2011/9/19,17509.0
2011/9/20,17000.0
2011/9/21,16673.0
2011/9/22,16336.0
2011/9/23,16556.0
2011/9/24,15561.0
2011/9/25,14537.0
2011/9/26,17409.0
2011/9/27,17594.0
2011/9/28,18216.0
2011/9/29,19355.0
2011/9/30,16163.0
2011/10/1,12634.0
2011/10/2,12217.0
2011/10/3,12006.0
2011/10/4,12606.0
2011/10/5,13801.0
2011/10/6,14519.0
2011/10/7,15008.0
2011/10/8,15935.0
2011/10/9,15750.0
2011/10/10,16926.0
2011/10/11,16896.0
2011/10/12,16598.0
2011/10/13,16826.0
2011/10/14,16466.0
2011/10/15,15362.0
2011/10/16,14382.0
2011/10/17,16187.0
2011/10/18,16097.0
2011/10/19,16064.0
2011/10/20,16286.0
2011/10/21,16346.0
2011/10/22,14918.0
2011/10/23,14233.0
2011/10/24,16235.0
2011/10/25,15841.0
2011/10/26,15822.0
2011/10/27,15898.0
2011/10/28,15829.0
2011/10/29,14558.0
2011/10/30,13976.0
2011/10/31,15624.0
2011/11/1,16002.0
2011/11/2,16389.0
2011/11/3,16450.0
2011/11/4,16683.0
2011/11/5,15564.0
2011/11/6,14800.0
2011/11/7,16190.0
2011/11/8,16133.0
2011/11/9,16162.0
2011/11/10,16158.0
2011/11/11,16152.0
2011/11/12,14921.0
2011/11/13,14273.0
2011/11/14,16174.0
2011/11/15,15893.0
2011/11/16,16201.0
2011/11/17,16559.0
2011/11/18,16658.0
2011/11/19,14798.0
2011/11/20,14310.0
2011/11/21,16102.0
2011/11/22,16123.0
2011/11/23,16303.0
2011/11/24,16601.0
2011/11/25,16391.0
2011/11/26,14997.0
2011/11/27,14450.0
2011/11/28,16182.0
2011/11/29,16220.0
2011/11/30,16490.0
2011/12/1,16976.0
2011/12/2,17750.0
2011/12/3,16000.0
2011/12/4,14982.0
2011/12/5,16945.0
2011/12/6,16969.0
2011/12/7,17192.0
2011/12/8,18444.0
2011/12/9,18690.0
2011/12/10,17996.0
2011/12/11,17507.0
2011/12/12,19294.0
2011/12/13,19158.0
2011/12/14,18748.0
2011/12/15,19183.0
2011/12/16,19748.0
2011/12/17,18533.0
2011/12/18,17793.0
2011/12/19,19444.0
2011/12/20,19510.0
2011/12/21,19358.0
2011/12/22,19491.0
2011/12/23,19717.0
2011/12/24,18450.0
2011/12/25,17778.0
2011/12/26,19601.0
2011/12/27,19438.0
2011/12/28,18839.0
2011/12/29,18506.0
2011/12/30,18574.0
2011/12/31,17657.0
2012/1/1,15488.0
2012/1/2,16920.0
2012/1/3,19275.0
2012/1/4,20582.0
2012/1/5,20996.0
2012/1/6,20905.0
2012/1/7,18739.0
2012/1/8,18027.0
2012/1/9,19707.0
2012/1/10,19448.0
2012/1/11,19425.0
2012/1/12,19327.0
2012/1/13,18987.0
2012/1/14,17588.0
