,subTypeName,dealnum,close,open,low,average,dealamount,indate,high,deal
64,上海,0,9.8,9.8,9.8,0,0,2016/7/13,9.8,9.8
65,广东,3000,10.5,10.1,10.5,0,31500,2016/7/13,10.5,10.5
66,天津,0,7,7,7,0,0,2016/7/13,7,7
67,SZ2013,0,41.45,41.45,41.45,0,0,2016/7/13,41.45,41.45
68,SZ2014,1,31.45,31.45,31.45,0,31.45,2016/7/13,31.45,31.45
69,SZ2015,0,41.38,41.38,41.38,0,0,2016/7/13,41.38,41.38
70,湖北,182297,13.48,14.8,13.48,0,2525260,2016/7/13,14.88,13.85
71,重庆,0,10,10,10,0,0,2016/7/13,10,10
72,北京,2350,52.46,52.46,52.46,0,123270,2016/7/12,52.46,52.46
73,上海,0,9.8,9.8,9.8,0,0,2016/7/12,9.8,9.8
74,广东,500,10.1,10.77,10.1,0,5050,2016/7/12,10.1,10.1
75,天津,0,7,7,7,0,0,2016/7/12,7,7
76,SZ2014,1,34.94,34.94,34.94,0,34.94,2016/7/12,34.94,34.94
77,SZ2015,324,41.38,34.57,34.57,0,11214.3,2016/7/12,41.38,34.61
78,SZ2013,0,41.45,41.45,41.45,0,0,2016/7/12,41.45,41.45
79,湖北,165685,14.98,15.2,14.9,0,2484680,2016/7/12,15.2,15
80,重庆,0,10,10,10,0,0,2016/7/12,10,10
81,北京,97,53,53,53,0,5141,2016/7/11,53,53
82,上海,0,9.8,9.8,9.8,0,0,2016/7/11,9.8,9.8
83,广东,100,10.77,9.79,10.77,0,1077,2016/7/11,10.77,10.77
84,天津,0,7,7,7,0,0,2016/7/11,7,7
85,SZ2015,1800,37.62,37.62,37.62,0,67716,2016/7/11,37.62,37.62
86,SZ2013,0,41.45,41.45,41.45,0,0,2016/7/11,41.45,41.45
87,SZ2014,0,38.82,38.82,38.82,0,0,2016/7/11,38.82,38.82
88,湖北,69602,15.98,16.88,15.8,0,1124110,2016/7/11,16.88,16.15
89,重庆,0,10,10,10,0,0,2016/7/11,10,10
90,北京,0,52.84,52.84,52.84,0,0,2016/7/8,52.84,52.84
91,上海,0,9.8,9.8,9.8,0,0,2016/7/8,9.8,9.8
92,广东,201,9.79,9.09,8.18,0,1967.18,2016/7/8,10,9.79
93,天津,0,7,7,7,0,0,2016/7/8,7,7
94,SZ2013,0,41.45,41.45,41.45,0,0,2016/7/8,41.45,41.45
95,SZ2014,1,38.82,38.82,38.82,0,38.82,2016/7/8,38.82,38.82
96,SZ2015,33000,34.2,41.8,34.2,0,909720,2016/7/8,41.8,37.24
97,湖北,17900,16.84,17.4,16.79,0,306154,2016/7/8,17.4,17.1
98,重庆,0,10,10,10,0,0,2016/7/8,10,10
99,北京,51,52.84,52.84,52.84,0,2694.6,2016/7/7,52.84,52.84
100,上海,0,9.8,9.8,9.8,0,0,2016/7/7,9.8,9.8
101,广东,110,9.09,8.29,9,0,1000,2016/7/7,9.1,9.09
102,天津,0,7,7,7,0,0,2016/7/7,7,7
103,SZ2013,0,41.45,41.45,41.45,0,0,2016/7/7,41.45,41.45
104,SZ2014,1,43.11,43.11,43.11,0,43.11,2016/7/7,43.11,43.11
105,SZ2015,51202,38,34.02,34.02,0,1368670,2016/7/7,38,37.99
106,湖北,30501,16.82,16.5,16.5,0,503427,2016/7/7,16.83,16.51
107,重庆,0,10,10,10,0,0,2016/7/7,10,10
108,北京,6452,49.5,49.5,49.5,0,319362,2016/7/6,49.5,49.5
109,上海,0,9.8,9.8,9.8,0,0,2016/7/6,9.8,9.8
110,广东,33724,8.29,8.29,8.29,0,286654,2016/7/6,8.29,8.29
111,天津,0,7,7,7,0,0,2016/7/6,7,7
112,SZ2014,0,47.92,47.92,47.92,0,0,2016/7/6,47.92,47.92
113,SZ2015,4,37.8,37.8,37.8,0,151.2,2016/7/6,37.8,37.8
114,SZ2013,1030,41.45,41.45,41.45,0,424694,2016/7/6,41.45,41.45
115,湖北,7462,16.73,16.95,16,0,125288,2016/7/6,16.95,16.79
116,重庆,0,10,10,10,0,0,2016/7/6,10,10
117,北京,0,47.35,47.35,47.35,0,0,2016/7/5,47.35,47.35
118,上海,0,9.8,9.8,9.8,0,0,2016/7/5,9.8,9.8
119,广东,0,8.29,8.29,8.29,0,0,2016/7/5,8.29,8.29
120,天津,0,7,7,7,0,0,2016/7/5,7,7
121,SZ2014,0,47.92,47.92,47.92,0,0,2016/7/5,47.92,47.92
122,SZ2013,1001,41.45,41.45,41.45,0,41491.4,2016/7/5,41.45,41.45
123,SZ2015,2750,42,36.53,38.02,0,104560,2016/7/5,42,38.02
124,湖北,6199,16.73,17.3,16.61,0,104828,2016/7/5,17.4,16.6
125,重庆,0,10,10,10,0,0,2016/7/5,10,10
126,北京,79,47.35,47.35,47.35,0,3740.9,2016/7/4,47.35,47.35
127,上海,0,9.8,9.8,9.8,0,0,2016/7/4,9.8,9.8
128,广东,70293,8.29,8.1,7.29,0,531784,2016/7/4,8.3,7.57
129,天津,0,7,7,7,0,0,2016/7/4,7,7
