A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,1/9/2016 0:00,2016,1,9,0,92,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 1:00,2016,1,9,1,95,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 2:00,2016,1,9,2,99,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 3:00,2016,1,9,3,96,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 4:00,2016,1,9,4,102,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 5:00,2016,1,9,5,105,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 6:00,2016,1,9,6,108,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 7:00,2016,1,9,7,111,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 8:00,2016,1,9,8,113,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 9:00,2016,1,9,9,117,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 10:00,2016,1,9,10,118,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 11:00,2016,1,9,11,130,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 12:00,2016,1,9,12,121,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 13:00,2016,1,9,13,128,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 14:00,2016,1,9,14,124,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 15:00,2016,1,9,15,128,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 16:00,2016,1,9,16,130,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 17:00,2016,1,9,17,138,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 18:00,2016,1,9,18,133,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 19:00,2016,1,9,19,130,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 20:00,2016,1,9,20,121,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 21:00,2016,1,9,21,114,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 22:00,2016,1,9,22,102,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 23:00,2016,1,9,23,93,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 0:00,2016,1,10,0,91,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 1:00,2016,1,10,1,74,µg/m³,1 Hr,Valid
